message , duration
PSTART 12-11-2020 23:13:28 PSTOP , 1616
PSTART 12-11-2020 23:13:30 PSTOP , 1522
PSTART 12-11-2020 23:13:32 PSTOP , 1992
PSTART 12-11-2020 23:13:33 PSTOP , 1669
PSTART 12-11-2020 23:13:35 PSTOP , 2004
PSTART 12-11-2020 23:13:37 PSTOP , 2136
PSTART 12-11-2020 23:13:39 PSTOP , 1670
PSTART 12-11-2020 23:13:41 PSTOP , 1837
PSTART 12-11-2020 23:13:42 PSTOP , 1143
PSTART 12-11-2020 23:13:44 PSTOP , 1529
PSTART 12-11-2020 23:13:46 PSTOP , 2009
PSTART 12-11-2020 23:13:47 PSTOP , 1563
PSTART 12-11-2020 23:13:49 PSTOP , 1608
PSTART 12-11-2020 23:13:51 PSTOP , 2143
PSTART 12-11-2020 23:13:52 PSTOP , 984
PSTART 12-11-2020 23:13:54 PSTOP , 2247
PSTART 12-11-2020 23:13:56 PSTOP , 1391
PSTART 12-11-2020 23:13:58 PSTOP , 2277
PSTART 12-11-2020 23:13:59 PSTOP , 1406
PSTART 12-11-2020 23:14:01 PSTOP , 1826
PSTART 12-11-2020 23:14:02 PSTOP , 1181
PSTART 12-11-2020 23:14:04 PSTOP , 1884
PSTART 12-11-2020 23:14:06 PSTOP , 2055
PSTART 12-11-2020 23:14:08 PSTOP , 1984
PSTART 12-11-2020 23:14:10 PSTOP , 1885
PSTART 12-11-2020 23:14:12 PSTOP , 1722
PSTART 12-11-2020 23:14:14 PSTOP , 1770
PSTART 12-11-2020 23:14:15 PSTOP , 1612
PSTART 12-11-2020 23:14:17 PSTOP , 1671
PSTART 12-11-2020 23:14:19 PSTOP , 2125
PSTART 12-11-2020 23:14:21 PSTOP , 1872
